2. TRIFD,3. FRS ID,30. CHEMICAL,33. CLEAN AIR ACT CHEMICAL,37. CARCINOGEN,40. 5.1 - FUGITIVE AIR,42. 5.3 - WATER,54. ON-SITE RELEASE TOTAL
65619STHWSWALNU,110055026396,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,2300
53154KCRKP4801E,110000417709,ZINC COMPOUNDS,NO,NO,0,3000,4503
52151LNSNG2320P,110015649592,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,6.6,0,7.3
47635RCKPR2791N,110000747924,NICKEL COMPOUNDS,YES,YES,250,190,68881
65619STHWSWALNU,110055026396,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,4780
67851HLCMB2440H,110009570259,BARIUM COMPOUNDS,NO,NO,250,0,478550
45153CNCNN1781U,110000392860,NAPHTHALENE,YES,YES,0,0,20
65619STHWSWALNU,110055026396,BARIUM COMPOUNDS,NO,NO,0,0,228550
65619STHWSWALNU,110055026396,LEAD COMPOUNDS,YES,NO,0,0,3851
96749PNGNRPUNAM,110000601377,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,10.3
28682DKNRG8320E,110000351397,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,380000
82201LRMRV347GR,110000468075,NICKEL  and NICKEL COMPOUNDS,YES,YES,101,0,52400
52732DMCRN1251B,110000415630,HYDROGEN FLUORIDE,YES,NO,0,0,133180
76567SNDWS7MISW,110007197853,LEAD  and LEAD COMPOUNDS,YES,NO,0.1,0,1283.8
85938SPRNG12MIL,110000600788,ARSENIC  and ARSENIC COMPOUNDS,YES,NO,9,0,44887
96748MLCTR32AUL,110008062283,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,1.4
96749PNGNRPUNAM,110000601377,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0.1
76567SNDWS7MISW,110007197853,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,2247
47567NDNPLRRTE1,110037247912,COPPER COMPOUNDS,NO,NO,20.4,186,379.4
81006PBLCS2005L,110000467851,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,18000
58523TTRTL62401,110000428378,HYDROGEN FLUORIDE,YES,NO,0,0,2728
8271WBSNLC1246N,110039589585,NICKEL  and NICKEL COMPOUNDS,YES,YES,8,0,41
41091CGGSTRT338,110006497585,VANADIUM COMPOUNDS,NO,NO,1,0,76111
81006PBLCS2005L,110000467851,COPPER COMPOUNDS,NO,NO,3.4,0,78183.4
58523NTLPV294CO,110000428369,BERYLLIUM  and BERYLLIUM COMPOUNDS,YES,YES,5,0,12
46392NRTHR2723E,110000493706,COPPER COMPOUNDS,NO,NO,0,628,84336
58523NTLPV294CO,110000428369,PHENOL,YES,NO,0,0,87
30217TNSKGGEORG,110010039494,NAPHTHALENE,YES,YES,1670,0,1682.13
62953LCTRC2100P,110043786249,MANGANESE COMPOUNDS,YES,NO,5.215,441.689,17224.372
68410MHPBLRR3XX,110000606489,HYDROGEN FLUORIDE,YES,NO,0,0,79530
10009CNSLD801E1,110000322623,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,1.19
26574MRCNBRTE17,110007881998,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,5,0,3205
81006PBLCS2005L,110000467851,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0.271,0,4.501
