ZIP,state_name,lat_avg,lng_avg,count_qualified,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_total,kw_total,yearly_sunlight_kwh_total,carbon_offset_metric_tons,existing_installs_count
12210,New York,42.65687825,-73.75991887,1969,87.43339254,1683,8130,8950,3017,88125,109905,27476.25,3.06E+07,11180.89985,1
12211,New York,42.70643548,-73.76597519,3633,78.46652268,4147,73209,42683,46184,88148,254371,63592.75,7.04E+07,25735.35762,17
12222,New York,42.6904091,-73.82881119,30,100,128,1588,1613,281,423,4033,1008.25,1180693.795,431.4476095,0
12235,New York,42.73853645,-73.82085025,1,50,0,0,0,0,134,134,33.5,35586.62461,13.00401864,0
12246,New York,42.6471118,-73.74965315,2,100,0,6,0,0,121,127,31.75,35123.36465,12.83473478,0
12288,New York,42.72384116,-73.85449248,58,81.69014085,206,623,1080,696,39229,41834,10458.5,1.19E+07,4359.516324,0
12302,New York,42.86077598,-73.9571728,6273,68.88864485,14227,98610,75843,55453,289821,533954,133488.5,1.49E+08,54584.27755,105
12303,New York,42.76689685,-73.93686554,9057,78.3884369,10019,149850,79203,79128,124306,442506,110626.5,1.23E+08,44915.61424,186
12304,New York,42.78047697,-73.90480045,5611,76.46497683,10068,76671,34889,64857,140030,326515,81628.75,9.15E+07,33435.38298,60
12305,New York,42.81622763,-73.94201409,1014,88.63636364,3170,14349,7769,6757,76563,108608,27152,3.04E+07,11097.00132,5
12306,New York,42.79079647,-73.98415521,8404,80.35953337,10516,131553,79083,71601,276557,569310,142327.5,1.60E+08,58600.71268,206
12307,New York,42.80445983,-73.93546413,1654,87.88522848,820,24349,5869,18164,22597,71799,17949.75,2.00E+07,7301.702292,13
12308,New York,42.81842548,-73.92004846,3322,78.64583333,2001,54781,32021,18658,87995,195456,48864,5.50E+07,20099.03049,14
12309,New York,42.79786195,-73.87872738,7907,70.32194948,11047,132792,96287,70183,109996,420305,105076.25,1.16E+08,42383.3177,103
12401,New York,41.93133718,-74.01813888,9477,72.09585394,16089,126972,86505,73317,427730,730613,182653.25,2.08E+08,75895.89272,19
12411,New York,41.87866461,-74.04414087,127,50.59760956,315,1847,853,590,528,4133,1033.25,1143168.661,417.7352232,0
12417,New York,41.91013312,-73.99019468,54,65.06024096,7,529,197,386,271,1390,347.5,380504.9071,139.0436143,0
