Size,Stride,Time
4096,4,0.0
4096,8,-0.0
4096,16,-0.1
4096,32,-0.1
4096,64,-0.1
4096,128,0.0
4096,256,0.1
4096,512,0.1
4096,1024,-0.3
4096,2048,-0.3
8192,4,-0.0
8192,8,-0.1
8192,16,-0.1
8192,32,-0.3
8192,64,-0.0
8192,128,-0.1
8192,256,0.1
8192,512,0.1
8192,1024,0.2
8192,2048,0.0
8192,4096,-0.0
16384,4,-0.3
16384,8,0.0
16384,16,0.1
16384,32,0.0
16384,64,-0.0
16384,128,-0.1
16384,256,-0.1
16384,512,-0.1
16384,1024,0.1
16384,2048,0.2
16384,4096,0.2
16384,8192,0.2
32768,4,-0.1
32768,8,-0.1
32768,16,-0.0
32768,32,-0.1
32768,64,-0.0
32768,128,-0.2
32768,256,-0.1
32768,512,0.0
32768,1024,-0.2
32768,2048,0.2
32768,4096,0.5
32768,8192,0.3
32768,16384,0.0
65536,4,-0.0
65536,8,0.0
65536,16,-0.0
65536,32,0.1
65536,64,0.1
65536,128,0.0
65536,256,0.1
65536,512,0.0
65536,1024,0.3
65536,2048,2.0
65536,4096,6.9
65536,8192,0.4
65536,16384,0.3
65536,32768,0.0
131072,4,-0.0
131072,8,0.0
131072,16,0.0
131072,32,0.1
131072,64,0.2
131072,128,0.4
131072,256,0.5
131072,512,0.5
131072,1024,0.6
131072,2048,7.4
131072,4096,13.0
131072,8192,6.6
131072,16384,0.5
131072,32768,0.3
131072,65536,-0.0
262144,4,-0.0
262144,8,-0.0
262144,16,-0.0
262144,32,0.1
262144,64,0.3
262144,128,0.5
262144,256,0.8
262144,512,0.7
262144,1024,1.2
262144,2048,6.8
262144,4096,13.1
262144,8192,12.8
262144,16384,12.0
262144,32768,0.5
262144,65536,0.3
262144,131072,0.0
524288,4,-0.0
524288,8,-0.0
524288,16,0.0
524288,32,0.1
524288,64,0.5
524288,128,1.5
524288,256,2.3
524288,512,2.8
524288,1024,3.2
524288,2048,7.8
524288,4096,13.5
524288,8192,13.8
524288,16384,11.7
524288,32768,7.4
524288,65536,0.8
524288,131072,1.0
524288,262144,-0.0
1048576,4,0.0
1048576,8,0.0
1048576,16,0.0
1048576,32,0.1
1048576,64,0.5
1048576,128,1.6
1048576,256,2.4
1048576,512,2.8
1048576,1024,2.7
1048576,2048,7.4
1048576,4096,12.5
1048576,8192,15.1
1048576,16384,16.0
1048576,32768,15.1
1048576,65536,13.2
1048576,131072,0.8
1048576,262144,0.4
1048576,524288,-0.0
2097152,4,-0.1
2097152,8,0.0
2097152,16,0.0
2097152,32,0.4
2097152,64,1.2
2097152,128,1.4
2097152,256,2.6
2097152,512,3.2
2097152,1024,2.9
2097152,2048,7.7
2097152,4096,13.2
2097152,8192,14.7
2097152,16384,14.7
2097152,32768,13.8
2097152,65536,13.2
2097152,131072,9.3
2097152,262144,0.7
2097152,524288,0.2
2097152,1048576,0.2
4194304,4,-0.0
4194304,8,0.1
4194304,16,0.1
4194304,32,1.5
4194304,64,0.5
4194304,128,1.7
4194304,256,2.6
4194304,512,2.8
4194304,1024,3.0
4194304,2048,7.5
4194304,4096,13.2
4194304,8192,14.8
4194304,16384,14.0
4194304,32768,13.2
4194304,65536,13.5
4194304,131072,13.8
4194304,262144,10.5
4194304,524288,0.5
4194304,1048576,0.1
4194304,2097152,-0.1
8388608,4,0.1
8388608,8,0.0
8388608,16,0.2
8388608,32,1.3
8388608,64,4.1
8388608,128,7.8
8388608,256,7.5
8388608,512,7.6
8388608,1024,7.8
8388608,2048,8.9
8388608,4096,18.5
8388608,8192,13.5
8388608,16384,13.5
8388608,32768,13.2
8388608,65536,13.2
8388608,131072,13.0
8388608,262144,11.9
8388608,524288,7.8
8388608,1048576,0.7
8388608,2097152,0.1
8388608,4194304,-0.1
16777216,4,0.0
16777216,8,0.2
16777216,16,0.7
16777216,32,3.3
16777216,64,6.2
16777216,128,12.1
16777216,256,14.5
16777216,512,17.3
16777216,1024,18.9
16777216,2048,16.1
16777216,4096,23.0
16777216,8192,18.9
16777216,16384,13.9
16777216,32768,13.7
16777216,65536,12.9
16777216,131072,12.5
16777216,262144,13.1
16777216,524288,13.3
16777216,1048576,13.9
16777216,2097152,0.7
16777216,4194304,0.3
16777216,8388608,0.0
33554432,4,0.0
33554432,8,0.2
33554432,16,0.7
33554432,32,2.5
33554432,64,5.9
33554432,128,14.1
33554432,256,16.5
33554432,512,21.5
33554432,1024,23.2
33554432,2048,18.5
33554432,4096,21.3
33554432,8192,24.6
33554432,16384,20.5
33554432,32768,14.1
33554432,65536,13.3
33554432,131072,12.7
33554432,262144,13.3
33554432,524288,12.7
33554432,1048576,13.1
33554432,2097152,9.7
33554432,4194304,0.5
33554432,8388608,0.3
33554432,16777216,-0.0
67108864,4,0.1
67108864,8,0.3
67108864,16,0.7
67108864,32,2.5
67108864,64,6.2
67108864,128,15.0
67108864,256,17.9
67108864,512,26.5
67108864,1024,30.0
67108864,2048,23.2
67108864,4096,23.1
67108864,8192,27.2
67108864,16384,29.6
67108864,32768,20.2
67108864,65536,13.0
67108864,131072,12.8
67108864,262144,13.4
67108864,524288,13.0
67108864,1048576,12.6
67108864,2097152,12.6
67108864,4194304,8.0
67108864,8388608,0.5
67108864,16777216,1.3
67108864,33554432,-0.1
